topic1,topic2,distance
0_filipinos_philippines_filipino_culture,0_filipinos_philippines_filipino_culture,1.0000002
0_filipinos_philippines_filipino_culture,1_song_video_watch_yall,0.6636524
1_song_video_watch_yall,0_filipinos_philippines_filipino_culture,0.6636524
0_filipinos_philippines_filipino_culture,2_manila_philippines_hotel_park,0.8237717
2_manila_philippines_hotel_park,0_filipinos_philippines_filipino_culture,0.8237717
0_filipinos_philippines_filipino_culture,3_islands_island_philippines_trip,0.7185789
3_islands_island_philippines_trip,0_filipinos_philippines_filipino_culture,0.7185789
0_filipinos_philippines_filipino_culture,4_dishes_philippines_dish_filipino,0.7085632
4_dishes_philippines_dish_filipino,0_filipinos_philippines_filipino_culture,0.7085632
0_filipinos_philippines_filipino_culture,5_philippines_filipino_food_rice,0.67623764
5_philippines_filipino_food_rice,0_filipinos_philippines_filipino_culture,0.67623764
0_filipinos_philippines_filipino_culture,6_snacks_snack_flavor_food,0.5895176
6_snacks_snack_flavor_food,0_filipinos_philippines_filipino_culture,0.5895176
0_filipinos_philippines_filipino_culture,7_recipe_cooking_garlic_cook,0.48158842
7_recipe_cooking_garlic_cook,0_filipinos_philippines_filipino_culture,0.48158842
0_filipinos_philippines_filipino_culture,8_celebrate_christmas_philippines_going,0.5995984
8_celebrate_christmas_philippines_going,0_filipinos_philippines_filipino_culture,0.5995984
0_filipinos_philippines_filipino_culture,9_philippines_philippine_manila_filipino,0.67019475
9_philippines_philippine_manila_filipino,0_filipinos_philippines_filipino_culture,0.67019475
1_song_video_watch_yall,1_song_video_watch_yall,1.0000002
1_song_video_watch_yall,2_manila_philippines_hotel_park,0.6284013
2_manila_philippines_hotel_park,1_song_video_watch_yall,0.6284013
1_song_video_watch_yall,3_islands_island_philippines_trip,0.5496408
3_islands_island_philippines_trip,1_song_video_watch_yall,0.5496408
1_song_video_watch_yall,4_dishes_philippines_dish_filipino,0.500985
4_dishes_philippines_dish_filipino,1_song_video_watch_yall,0.500985
1_song_video_watch_yall,5_philippines_filipino_food_rice,0.6245889
5_philippines_filipino_food_rice,1_song_video_watch_yall,0.6245889
1_song_video_watch_yall,6_snacks_snack_flavor_food,0.5811949
6_snacks_snack_flavor_food,1_song_video_watch_yall,0.5811949
1_song_video_watch_yall,7_recipe_cooking_garlic_cook,0.39857408
7_recipe_cooking_garlic_cook,1_song_video_watch_yall,0.39857408
1_song_video_watch_yall,8_celebrate_christmas_philippines_going,0.6874746
8_celebrate_christmas_philippines_going,1_song_video_watch_yall,0.6874746
1_song_video_watch_yall,9_philippines_philippine_manila_filipino,0.44297108
9_philippines_philippine_manila_filipino,1_song_video_watch_yall,0.44297108
2_manila_philippines_hotel_park,2_manila_philippines_hotel_park,1.0
2_manila_philippines_hotel_park,3_islands_island_philippines_trip,0.8631836
3_islands_island_philippines_trip,2_manila_philippines_hotel_park,0.8631836
2_manila_philippines_hotel_park,4_dishes_philippines_dish_filipino,0.70982736
4_dishes_philippines_dish_filipino,2_manila_philippines_hotel_park,0.70982736
2_manila_philippines_hotel_park,5_philippines_filipino_food_rice,0.7703525
5_philippines_filipino_food_rice,2_manila_philippines_hotel_park,0.7703525
2_manila_philippines_hotel_park,6_snacks_snack_flavor_food,0.6366091
6_snacks_snack_flavor_food,2_manila_philippines_hotel_park,0.6366091
2_manila_philippines_hotel_park,7_recipe_cooking_garlic_cook,0.4959439
7_recipe_cooking_garlic_cook,2_manila_philippines_hotel_park,0.4959439
2_manila_philippines_hotel_park,8_celebrate_christmas_philippines_going,0.7446996
8_celebrate_christmas_philippines_going,2_manila_philippines_hotel_park,0.7446996
2_manila_philippines_hotel_park,9_philippines_philippine_manila_filipino,0.5902122
9_philippines_philippine_manila_filipino,2_manila_philippines_hotel_park,0.5902122
3_islands_island_philippines_trip,3_islands_island_philippines_trip,1.0
3_islands_island_philippines_trip,4_dishes_philippines_dish_filipino,0.6479957
4_dishes_philippines_dish_filipino,3_islands_island_philippines_trip,0.6479957
3_islands_island_philippines_trip,5_philippines_filipino_food_rice,0.6729133
5_philippines_filipino_food_rice,3_islands_island_philippines_trip,0.6729133
3_islands_island_philippines_trip,6_snacks_snack_flavor_food,0.55134153
6_snacks_snack_flavor_food,3_islands_island_philippines_trip,0.55134153
3_islands_island_philippines_trip,7_recipe_cooking_garlic_cook,0.4854455
7_recipe_cooking_garlic_cook,3_islands_island_philippines_trip,0.4854455
3_islands_island_philippines_trip,8_celebrate_christmas_philippines_going,0.63080454
8_celebrate_christmas_philippines_going,3_islands_island_philippines_trip,0.63080454
3_islands_island_philippines_trip,9_philippines_philippine_manila_filipino,0.5197349
9_philippines_philippine_manila_filipino,3_islands_island_philippines_trip,0.5197349
4_dishes_philippines_dish_filipino,4_dishes_philippines_dish_filipino,1.0
4_dishes_philippines_dish_filipino,5_philippines_filipino_food_rice,0.8951565
5_philippines_filipino_food_rice,4_dishes_philippines_dish_filipino,0.8951565
4_dishes_philippines_dish_filipino,6_snacks_snack_flavor_food,0.87473553
6_snacks_snack_flavor_food,4_dishes_philippines_dish_filipino,0.87473553
4_dishes_philippines_dish_filipino,7_recipe_cooking_garlic_cook,0.8478099
7_recipe_cooking_garlic_cook,4_dishes_philippines_dish_filipino,0.8478099
4_dishes_philippines_dish_filipino,8_celebrate_christmas_philippines_going,0.5262939
8_celebrate_christmas_philippines_going,4_dishes_philippines_dish_filipino,0.5262939
4_dishes_philippines_dish_filipino,9_philippines_philippine_manila_filipino,0.52406216
9_philippines_philippine_manila_filipino,4_dishes_philippines_dish_filipino,0.52406216
5_philippines_filipino_food_rice,5_philippines_filipino_food_rice,1.0
5_philippines_filipino_food_rice,6_snacks_snack_flavor_food,0.88281935
6_snacks_snack_flavor_food,5_philippines_filipino_food_rice,0.88281935
5_philippines_filipino_food_rice,7_recipe_cooking_garlic_cook,0.7607317
7_recipe_cooking_garlic_cook,5_philippines_filipino_food_rice,0.7607317
5_philippines_filipino_food_rice,8_celebrate_christmas_philippines_going,0.7312441
8_celebrate_christmas_philippines_going,5_philippines_filipino_food_rice,0.7312441
5_philippines_filipino_food_rice,9_philippines_philippine_manila_filipino,0.45518947
9_philippines_philippine_manila_filipino,5_philippines_filipino_food_rice,0.45518947
6_snacks_snack_flavor_food,6_snacks_snack_flavor_food,0.9999999
6_snacks_snack_flavor_food,7_recipe_cooking_garlic_cook,0.7438704
7_recipe_cooking_garlic_cook,6_snacks_snack_flavor_food,0.7438704
6_snacks_snack_flavor_food,8_celebrate_christmas_philippines_going,0.61250687
8_celebrate_christmas_philippines_going,6_snacks_snack_flavor_food,0.61250687
6_snacks_snack_flavor_food,9_philippines_philippine_manila_filipino,0.42422894
9_philippines_philippine_manila_filipino,6_snacks_snack_flavor_food,0.42422894
7_recipe_cooking_garlic_cook,7_recipe_cooking_garlic_cook,0.99999994
7_recipe_cooking_garlic_cook,8_celebrate_christmas_philippines_going,0.4625352
8_celebrate_christmas_philippines_going,7_recipe_cooking_garlic_cook,0.4625352
7_recipe_cooking_garlic_cook,9_philippines_philippine_manila_filipino,0.36238447
9_philippines_philippine_manila_filipino,7_recipe_cooking_garlic_cook,0.36238447
8_celebrate_christmas_philippines_going,8_celebrate_christmas_philippines_going,1.0
8_celebrate_christmas_philippines_going,9_philippines_philippine_manila_filipino,0.37080342
9_philippines_philippine_manila_filipino,8_celebrate_christmas_philippines_going,0.37080342
9_philippines_philippine_manila_filipino,9_philippines_philippine_manila_filipino,1.0000001
